0,12/02/2017 10:04:27,0151564,Coke 500ml,1,1.5,1.5
1,12/02/2017 10:04:31,0151578,Fanta 300ml,2,1.38,1.38
2,12/02/2017 10:04:36,0151566,Coke 2000ml,1,2.99,5.18
3,12/02/2017 10:04:40,0151580,Fanta 1000ml,1,1.0,7.18
3,12/02/2017 10:04:40,0151580,Fanta 1000ml,1,1.0,7.18
4,12/02/2017 10:04:50,0151579,Fanta 500ml,1,0.69,7.86
5,12/02/2017 10:08:08,0151578,Fanta 300ml,1,0.69,0.69
6,13/02/2017 10:09:58,0151565,Coke 1000ml,1,2.5,2.5
7,13/02/2017 10:10:09,0151580,Fanta 1000ml,1,1.0,4.18
7,13/02/2017 10:10:09,0151579,Fanta 500ml,1,0.69,4.18
8,22/03/2017 11:45:24,0151564,Coke 500ml,1,1.5,1.0
9,22/03/2017 11:56:20,0151563,Coke 300ml,1,0.69,1.0
10,22/03/2017 11:57:48,0151563,Coke 300ml,10,6.9,8.0
10,22/03/2017 11:57:48,0151580,Fanta 1000ml,1,1.0,8.0
